item_id,phase,type,difficulty,stem,option_a,option_b,option_c,option_d,correct_option
B07,B,syllogism,hard,Premises: All Fins are Kods. No Kods are Mels. Which conclusion must be true?,No Fins are Mels,Some Fins are Mels,All Mels are Fins,Some Kods are Mels,0
B08,B,conditional,medium,"Rules: If a snack is a Vun, then it is salty. If it is salty, then it increases thirst. This snack is a Vun. Which must be true?",It increases thirst,It decreases thirst,It is not salty,It is sweet,0
B09,B,conditional,easy,"Rule: If a snack is a Vun, then it is salty. This snack is a Vun. What must be true?",It is salty,It is sweet,It is spicy,It is sour,0
B10,B,syllogism,medium,Premises: All Nors are Sivs. Some Sivs are Rens. Which conclusion is valid?,Some Sivs are Rens,All Nors are Rens,Some Rens are Nors,No Sivs are Rens,0
B11,B,conditional,medium,"Rules: If a tool is a Vesh, then it is calibrated. If it is calibrated, then it is accurate. This tool is a Vesh. Which must be true?",It is accurate,It is inaccurate,It is uncalibrated,It is broken,0
B12,B,syllogism,easy,Premises: All Pons are Lems. Dana is a Pon. Which conclusion must be true?,Dana is a Lem,Dana is not a Lem,Some Lems are Pons,No Lems are Pons,0
B13,B,conditional,medium,"Rules: If a report is a Sef, then it is reviewed. If it is reviewed, then it is approved. This report is a Sef. Which must be true?",It is approved,It is rejected,It is unreviewed,It is missing,0
B14,B,conditional,medium,"Rules: If an object is a Plim, then it is smooth. If it is smooth, then it is polished. This object is a Plim. Which must be true?",It is polished,It is unpolished,It is rough,It is cracked,0
B15,B,conditional,medium,"Rules: If someone is a Dax, then they carry a badge. If someone carries a badge, then they can enter Room 1. Mira is a Dax. Which must be true?",Mira can enter Room 1,Mira cannot enter Room 1,Mira is not a Dax,Mira has no badge,0
C01,C,conditional,medium,"Rules: If a password is a Rivo, then it is long. If it is long, then it is hard to guess. This password is a Rivo. Which must be true?",It is hard to guess,It is easy to guess,It is short,It is shared,0
C02,C,conditional,medium,"Rules: If a badge is a Luv, then it opens Door A. If it opens Door A, then it grants access to Zone 1. This badge is a Luv. Which must be true?",It grants access to Zone 1,It denies Zone 1 access,It opens Door B,It is invalid,0
C03,C,conditional,medium,"Rules: If a meeting is a Tesk, then it is scheduled. If it is scheduled, then it appears on the calendar. This meeting is a Tesk. Which must be true?",It appears on the calendar,It is not scheduled,It is canceled,It has no time,0
C04,C,conditional,medium,"Rules: If a note is a Jor, then it is handwritten. If it is handwritten, then it uses ink. This note is a Jor. Which must be true?",It uses ink,It uses no ink,It is typed,It is erased,0
C05,C,conditional,hard,"Rules: If a package is a Nemt, then it is tracked. If it is tracked, then it is not anonymous. If it is not anonymous, then it can be traced to a sender. This package is a Nemt. Which must be true?",It can be traced to a sender,It is anonymous,It cannot be tracked,It has no sender,0
C06,C,conditional,easy,"Rule: If a badge is a Luv, then it opens Door A. This badge is a Luv. What must be true?",It opens Door A,It cannot open Door A,It opens Door B,It is fake,0
C07,C,conditional,medium,"Rules: If a vehicle is a Parn, then it uses electricity. If it uses electricity, then it is quiet. This vehicle is a Parn. Which must be true?",It is quiet,It is loud,It uses gasoline,It is not a Parn,0
C08,C,conditional,easy,"Rule: If a note is a Jor, then it is handwritten. This note is a Jor. What must be true?",It is handwritten,It is typed,It is printed,It is erased,0
C09,C,conditional,medium,"Rules: If a shirt is a Drel, then it is cotton. If it is cotton, then it is breathable. This shirt is a Drel. Which must be true?",It is breathable,It is not breathable,It is wool,It is plastic,0
C10,C,syllogism,medium,Premises: All Mels are Nits. No Nits are Jors. Which must be true?,No Mels are Jors,Some Mels are Jors,All Jors are Mels,Some Nits are Jors,0
C11,C,conditional,easy,"Rule: If a vehicle is a Parn, then it uses electricity. This vehicle is a Parn. What must be true?",It uses electricity,It uses gasoline,It is broken,It is slow,0
C12,C,syllogism,easy,Premises: All Lups are Rens. Jo is a Lup. Which conclusion must be true?,Jo is a Ren,Jo is not a Ren,Some Rens are not Lups,No Rens are Lups,0
C13,C,syllogism,medium,Premises: All Kems are Vals. Some Vals are Tins. Which conclusion is valid?,Some Vals are Tins,All Kems are Tins,Some Tins are Kems,No Vals are Tins,0
C14,C,conditional,medium,"Rules: If a plant is a Sile, then it needs sunlight. If it needs sunlight, then it should be near a window. This plant is a Sile. Which must be true?",It should be near a window,It should be in a closet,It needs no sunlight,It is plastic,0
C15,C,syllogism,hard,Premises: No Pels are Zims. Some Rufs are Pels. Which conclusion must be true?,Some Rufs are not Zims,All Rufs are Zims,No Rufs are Pels,Some Zims are Rufs,0
